name,dapp_sector,dapp_category,sub_category,is_active,is_multi_chain,governance_type,ownership_status,level_of_decentralisation,research_comments,tags,token_symbol,token_type,website,launch_date,chains,raised_capital,tvl,tvl_ratio,market_cap,circulating_supply,total_supply,price,users,volume,transactions,total_liquidity_usd,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d
Lingo,games,Payments/RWA,"Play 2 Earn, Farming, Staking, Tokenized rewards",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,oken used for rewards; materials point to future DAO—present execution is company-run.,"Content Creation, Farming, NFT, Staking, solana-ecosystem, base-ecosystem, Solana Ecosystem, Real World Assets (RWA), Base Ecosystem, RWA Protocol",LINGO,REWARD,https://lingoislands.com/rewards-base,,"base,ton",0,0,,13185517,486206133,486206133,0.02377115162,12838,139894.56,31216,0.00302715,-2.95381808,-12.02601874,-31.23841876,-33.93585513,-39.92099706,
Maple,defi,Lending,"Lending, Staking, Tokenized rewards",TRUE,TRUE,SNAPSHOT_OFFCHAIN,FOUNDATION_OWNED,SEMI_DECENTRALIZED,Maple DAO governs via Snapshot/stSYRUP; Maple Foundation stewards execution,"RWA, Staking, DeFi, dao, ethereum-ecosystem, framework-ventures-portfolio, real-world-assets-protocols, circle-ventures-portfolio, base-ecosystem, binance-ecosystem, binance-listing, Decentralized Finance (DeFi), Lending/Borrowing Protocols, Ethereum Ecosystem, Real World Assets (RWA), Alameda Research Portfolio, Circle Ventures Portfolio, RWA Protocol",SYRUP,UTILITY,https://maple.finance/,,"base,ethereum",123.9,2628951369,,323763,1197303923,1200275709,0.3987414529,12797,34295487227,4124,-0.2655925,-7.43898145,-12.60865555,-7.72002652,-15.13230719,-21.53363513,2303536203
ParaSwap,exchanges,DEX,"AMM DEX, DEX Aggregator, Aggregator",TRUE,TRUE,SNAPSHOT_OFFCHAIN,FOUNDATION_OWNED,SEMI_DECENTRALIZED,ParaSwap (rebranded to Velora) uses DAO voting; Blur/Velora Foundation facilitates execution.,"decentralized-exchange-dex-token, defi, ethereum-ecosystem, polygon-ecosystem, fantom-ecosystem, spartan-group, bnb-chain-ecosystem, optimism-ecosystem, intent, Decentralized Exchange (DEX), Exchange-based Tokens, Decentralized Finance (DeFi), BNB Chain Ecosystem, Polygon Ecosystem, Ethereum Ecosystem, Optimism Ecosystem, Alameda Research Portfolio, Blockchain Capital Portfolio, Dex Aggregator",PSP,UTILITY,https://paraswap.io,,"arbitrum,avalanche,bnb-chain,ethereum,fantom,optimism,polygon",0,0,,6720573.047,744976909,1800000000,0.01581451158,12536,783320679.4,24528,0.1580956,7.56596858,4.79465297,13.19916507,22.48003759,-33.52252222,0
Blur,marketplaces,Lending,"NFT Marketplace, Marketplace, AMM DEX, Lending",TRUE,TRUE,SNAPSHOT_OFFCHAIN,FOUNDATION_OWNED,SEMI_DECENTRALIZED,BLUR token governs marketplace/Blend via DAO; Blur Foundation supports execution,"NFT, Marketplaces, Ethereum Ecosystem, NFT Marketplace, FTX Holdings, NFTFi, eGirl Capital Portfolio, Paradigm Portfolio, GMCI DeFi Index, GMCI Index, Made in USA, Coinbase 50 Index, collectibles-nfts, ethereum-ecosystem, egirl-capital-portfolio, made-in-america, binance-ecosystem, binance-listing",BLUR,GOVERNANCE,https://blur.io/collections,,"blast,ethereum",0,31494974,,102066406.5,2615525633,3000000000,0.03929635491,12488,148021632.3,44020,2.59860238,2.36870334,-2.92889236,-23.91713883,-44.09745557,-47.5177829,31494973
DeathX.Fun,gambling,NFT Gaming,"Casino, DAO Tooling, Play 2 Earn",TRUE,TRUE,NONE,ORPHANED,CENTRALIZED,Casual web game with no DAO/governance disclosures; fully operator-run,Gambling,,,https://deathx.fun,,"bnb-chain,polygon",0,0,0,0,0,0,0,12052,24030.64,71236,0,0,0,0,0,0,
Drift Protocol V2,defi,DEX,"Perpetuals, Yield Optimizer, Staking, AMM DEX",TRUE,FALSE,ONCHAIN_TOKEN_GOVERNANCE,MIXED,DECENTRALIZED,DRIFT token + Drift DAO for protocol changes; binding governance with broad tokenholder participation.,"Exchanges, Staking, Yield, DeFi",DRIFT,GOVERNANCE,https://www.drift.trade/,,solana,0,0,0,0,0,0,0,11854,22829.06,70701054,0,0,0,0,0,0,
VVS Finance,exchanges,DEX,"AMM DEX, Farming, Staking, Yield Optimizer",TRUE,FALSE,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,"Community incentives and votes exist, but execution remains team-controlled on Cronos","Pools, Farming, Staking, Yield, DeFi, decentralized-exchange-dex-token, ethereum-ecosystem, dex, cronos-ecosystem, Decentralized Exchange (DEX), Decentralized Finance (DeFi), Automated Market Maker (AMM), Ethereum Ecosystem, Cronos Ecosystem, Exchange-based Tokens",VVS,UTILITY,https://vvs.finance/,,cronos,0,192713240,,93313593.45,42851692611462,95109375961781,0.000002186904116,11730,349102135.7,507950,2.38194067,3.22628514,1.95525086,-29.45159531,-41.86870432,-50.76015034,195191032
Ethereum Name Service,other,Privacy/Security,"Identity, DAO Tooling",TRUE,FALSE,DAO_WITH_TIMELOCK,MIXED,DECENTRALIZED,ENS DAO governs treasury/protocol with timelock; ENS Foundation provides legal wrapper—highly decentralized execution,"dao, ethereum-ecosystem, governance, solana-ecosystem, web3, binance-ecosystem, binance-listing, NFT, Ethereum Ecosystem, Decentralized Identifier (DID), Name Service",ENS,GOVERNANCE,https://ens.domains/,,ethereum,0,0,,768055610,37822309.64,100000000,11.5526706,11730,427289.15,32385,2.36384744,4.02988571,-6.25000722,-25.5185069,-41.28876924,-52.31107311,
Rubic,defi,DEX,Aggregator,TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,"Cross-chain aggregator with RBC token; DAO language exists, but practical control and routing remain team-run","Exchanges, DeFi, mineable, hybrid-pow-pos, x11, Decentralized Finance (DeFi), Arbitrum Ecosystem, Ethereum Ecosystem",RBC,UTILITY,https://rubic.exchange,,"arbitrum,astar,base,bnb-chain,aurora,ethereum,optimism,avalanche,linea,bahamut,cronos,fantom,zksync-era,polygon,zetachain,blast",0,0,,1196036.258,206390547.6,206390547.6,0.01019534,11702,13904536.96,6765,0,-6.27873,-5.84018,-12.1249,0,0,0
Immortal Rising 2,games,NFT Gaming,"Play 2 Earn, Social, Staking",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,"Mobile/Web3 RPG sequel; IMT token used for in-game economy and progression; no DAO, Snapshot, or binding governance controlling upgrades or treasury identified; studio-led operations.","NFT, Social, Staking, Games, Play to Earn",IMT,REWARD,https://immortalrising2.com/,,"ethereum,immutablezkevm",0,0,0,0,0,0,0,11600,0,40476,0,0,0,0,0,0,
Katana,defi,DEX,"AMM DEX, Analytics, Identity",TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,Ronin’s Katana DEX operated by Sky Mavis; emissions/LP policy set by company; chain validators provide some distribution,"research, analytics",RON,UTILITY,https://katana.roninchain.com/#/swap,,ronin,35,,,0,0,0,,11551,23420582,80047,,,,,,,2472073
Venus Protocol,defi,DAO Tooling,"Yield Optimizer, Staking, DAO Tooling",TRUE,TRUE,ONCHAIN_TOKEN_GOVERNANCE,DAO_OWNED,DECENTRALIZED,DeFi lending protocol on BNB Chain; XVS token holders vote on binding on-chain proposals affecting protocol parameters; DAO controls core contracts with timelock and transparent execution.,"Pools, Staking, Yield, DeFi, Governance",XVS,GOVERNANCE,https://venus.io,,"arbitrum,bnb-chain,ethereum,opbnb,optimism,zksync-era",0,0,0,0,0,0,0,11280,407386918.8,39937,0,0,0,0,0,0,
HOT Swap,exchanges,DEX,"AMM DEX, DAO Tooling, Yield Optimizer",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,HOT Protocol docs describe infra; no binding community governance for HOT Swap—team executes,"Exchanges, Yield, DeFi",HOT,UTILITY,https://hotdao.ai,,"arbitrum,aurora,base,bnb-chain,near,polygon",0,0,0,0,0,0,0,11272,864928.1,31769,0,0,0,0,0,0,
SunSwap V2,exchanges,DEX,AMM DEX,TRUE,FALSE,ONCHAIN_TOKEN_GOVERNANCE,FOUNDATION_OWNED,SEMI_DECENTRALIZED,SunSwap under SUN/veSUN with DAO mechanics; overseen within TRON/SUN ecosystem—execution via foundation entities,"tron-ecosystem, tron20-ecosystem, binance-ecosystem, binance-listing, made-in-china",SUN,GOVERNANCE,https://sun.io/?lang=en-US#/sun_swap/v2?type=swap,,tron,0,,,0,19182486871,19900730000,0.02108746708,10988,84545638.32,145107,-0.06661493,-1.23140325,-4.60220206,-5.66991718,-17.85009606,-13.82203049,244834357
DeFi Kingdoms,games,DEX,"Play 2 Earn, Metaverse, AMM DEX, DAO Tooling",TRUE,TRUE,SNAPSHOT_OFFCHAIN,MIXED,SEMI_DECENTRALIZED,JEWEL holders vote via Snapshot (cJEWEL/sJEWEL); team executes game ops and upgrades → semi,"NFT, Exchanges, DeFi, Games, Play to Earn, collectibles-nfts, decentralized-exchange-dex-token, gaming, avalanche-ecosystem, harmony-ecosystem, klaytn-ecosystem, metis-andromeda-ecosystem, Decentralized Exchange (DEX), Smart Contract Platform, Exchange-based Tokens, Decentralized Finance (DeFi), Gaming (GameFi), Automated Market Maker (AMM), Metaverse, Avalanche Ecosystem, Harmony Ecosystem, Metis Ecosystem, RPG, Gaming Governance Token, Gaming Utility Token, Avalanche L1, Appchains, Action Games",JEWEL,REWARD,https://defikingdoms.com,,"avalanche,defikingdoms,kaia",0,308097,6.54465516,2025053.22,113537457.1,121010985.6,0.01775967751,10225,385554.9,6477830,0.4970368,-0.39265676,-13.22375264,-29.61740629,-49.29935106,-50.21550889,315562
My Neighbor Alice,games,NFT marketplace,"Play 2 Earn, Metaverse, DAO Tooling, NFT Marketplace",TRUE,TRUE,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,"ALICE token confers governance rights, but studio controls development and execution → semi","NFT, Metaverse, Social, Games, Play to Earn, collectibles-nfts, defi, gaming, entertainment, ethereum-ecosystem, binance-launchpool, solana-ecosystem, dao-maker, exnetwork-capital-portfolio, chromia-ecosystem, play-to-earn, bnb-chain-ecosystem, binance-ecosystem, binance-listing, Gaming (GameFi), BNB Chain Ecosystem, Binance Launchpool, DaoMaker Launchpad, Ethereum Ecosystem, Gaming Governance Token, Gaming Utility Token, Simulation Games, YZi Labs (Prev. Binance Labs) Portfolio",ALICE,REWARD,https://www.myneighboralice.com/,,"chromia,bnb-chain,ethereum",0,0,,22210110.47,99903142.25,99903142.25,0.2456448727,9842,29.21,316805,1.65646722,-0.02557167,1.21353407,-25.69270354,-16.57967944,-32.53781216,0
KyberSwap Classic,exchanges,DEX,"AMM DEX, DAO Tooling, Farming, Identity",TRUE,TRUE,ONCHAIN_TOKEN_GOVERNANCE,FOUNDATION_OWNED,DECENTRALIZED,"KyberDAO (staked KNC) executes binding decisions for KyberSwap, incl. Classic → high decentralization","Pools, Farming, Exchanges, Yield, DeFi, marketplace, decentralized-exchange-dex-token, dao, ethereum-ecosystem, amm, three-arrows-capital-portfolio, governance, kenetic-capital-portfolio, pantera-capital-portfolio, parafi-capital, polygon-ecosystem, arbitrum-ecosystem, bnb-chain-ecosystem, optimism-ecosystem, binance-ecosystem, binance-listing",KNC,"GOVERNANCE, UTILITY",https://kyberswap.com/#/about,,"avalanche,bnb-chain,cronos,ethereum,fantom,polygon",422.45,,,0,190541271.1,240583960.8,0.2755864346,9826,9879396.18,178116,1.86701825,1.32012252,-0.22091293,-9.85759501,-12.79598792,-27.87522468,1187933
Gaimin,collectibles,NFT marketplace,"NFT Marketplace, Marketplace, Infrastructure, Play 2 Earn",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,"No public DAO; platform, token and infra governed by company → centralized","NFT, Sports, Games, Play to Earn, Marketplaces, Artificial Intelligence (AI), Smart Contract Platform, Gaming (GameFi), BNB Chain Ecosystem, Solana Ecosystem, Layer 2 (L2), DePIN, Gaming Platform, platform, ai-big-data, distributed-computing, collectibles-nfts, defi, gaming, dapp, binance-smart-chain, fan-token, solana-ecosystem, seedify, cmc-labs",GMRX,UTILITY,https://gaimin.gg,,"bnb-chain,solana,opbnb,ethereum",0,0,,0,44201369100,97196923682,0.00008629916407,9765,12.54,37520,-2.84364166,6.62092799,28.01999366,35.42648736,-18.25937841,-34.2647398,
Nomiswap (NMX),defi,DEX,"Yield Optimizer, Farming, Staking, AMM DEX",TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,NMX utility/farming; no credible DAO docs—team manages parameters/treasury → semi.,"Pools, Farming, Exchanges, Staking, Yield",NMX,UTILITY,https://nomiswap.io/,,bnb-chain,0,0,0,0,0,0,0,9668,514620.53,52,0,0,0,0,0,0,
SaucerSwap,defi,DEX,"Yield Optimizer, Farming, Staking, AMM DEX",TRUE,FALSE,ONCHAIN_TOKEN_GOVERNANCE,COMPANY_OWNED,SEMI_DECENTRALIZED,SAUCE/xSAUCE voting recorded via Hedera Consensus Service; execution still team/multisig → semi,"Farming, Exchanges, Staking, Yield, DeFi, decentralized-exchange-dex-token, hedera-hashgraph-ecosystem, Decentralized Exchange (DEX), Exchange-based Tokens, Decentralized Finance (DeFi), Hedera Ecosystem, Made in USA, Base Ecosystem",SAUCE,GOVERNANCE,https://www.saucerswap.finance/,,hedera,0,80321062,0.54172193,25117084.46,853882505.6,854082467.4,0.0509574563,9646,1097821153,750432,1.15455488,-7.60628636,-1.92934864,-4.2704588,-2.71068931,64.72568933,54820154
GOAT Gaming,games,NFT Gaming,"Play 2 Earn, DAO Tooling",TRUE,TRUE,NONE,COMPANY_OWNED,CENTRALIZED,Telegram gaming platform without governance mechanism; operator sets rules/rewards → centralized,"Games, Play to Earn",GG,REWARD,https://goatgaming.com/,,"arbitrum,b3,ethereum,ton",0,0,0,0,0,0,0,9541,2873.76,150040,0,0,0,0,0,0,
CARV,social,SocialFi,"SocialFi, Social, Identity, Infrastructure",TRUE,TRUE,SNAPSHOT_OFFCHAIN,MIXED,SEMI_DECENTRALIZED,CARV DAO + token voting; foundation/company still runs core products → semi.,"Discussions, Games, Play to Earn, Marketplaces, ethereum-ecosystem, solana-ecosystem, arbitrum-ecosystem, animoca-brands-portfolio, bnb-chain-ecosystem, base-ecosystem, binance-alpha, binance-alpha-airdrops, binance-ecosystem, binance-listing, Artificial Intelligence (AI), Infrastructure, Gaming (GameFi), NFT, BNB Chain Ecosystem, Solana Ecosystem, Arbitrum Ecosystem, Impossible Finance Launchpad, Ethereum Ecosystem, Animoca Brands Portfolio, Base Ecosystem, Binance Alpha Spotlight",CARV,GOVERNANCE,https://carv.io/,,"arbitrum,avalanche,base,bnb-chain,fantom,linea,opbnb,other,polygon,ronin,zksync-era",0,0,,90648736,302929072,1000000000,0.144444759,9374,1793371,57816,-0.12405678,3.33938021,-6.51161928,-7.08178149,-47.21603709,-52.06046276,
Solayer,defi,Payments/RWA,"Staking, Restaking, Stablecoin",TRUE,FALSE,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,LAYER token voting/DAO announced; practical control presently with team → semi.,"defi, polychain-capital-portfolio, binance-labs-portfolio, solana-ecosystem, restaking, binance-hodler-airdrops, binance-ecosystem, binance-listing, Decentralized Finance (DeFi), Solana Ecosystem, LSDFi, Stablecoin Issuer, YZi Labs (Prev. Binance Labs) Portfolio, Binance HODLer Airdrops, Polychain Capital Portfolio, Buidlpad Launchpad",LAYER,UTILITY,https://solayer.org/,,solana,0,40444452,,46887170.56,312514069,999999486,0.227337221,9371,1199.78,15352,1.7607213,-3.59941911,8.60235935,-21.49889203,-44.20027995,-57.75087727,39378643
Magnetic,defi,DEX,"Farming, AMM DEX, DAO Tooling, Marketplace",TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,XRPL/Xahau DEX/platform; whitepaper/site show no community governance → centralized,"Farming, NFT, Exchanges, DeFi, Marketplaces",MAG,UTILITY,https://xmagnetic.org,,xrpl,0,0,0,0,0,0,0,9248,42065349.68,172727,0,0,0,0,0,0,
GMonchain,games,NFT Gaming,"Play 2 Earn, DAO Tooling, Social",TRUE,TRUE,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,Materials mention governance feature; execution/team control today → semi,"Layer 2, Gambling, Social, DeFi, Games",GM,REWARD,https://gmonchain.vercel.app/,,"arbitrum,base,polygon,celo,optimism,lisk",0,0,0,0,0,100000000000,7.50E-07,9206,4251.96,78249,0,2.48881,5.80359,-20.17381,0,0,
Pitch Lucy,defi,NFT Gaming,"Casino, Play 2 Earn",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,"Casual Web3/mobile game; no evidence of DAO, governance token, or community-controlled execution; content and updates appear fully studio-controlled.","Gambling, Casino, DeFi, Games, Play to Earn",,,https://pitchlucy.ai/pitch,,"base,polygon,zetachain",0,0,0,0,0,0,0,9191,0,25105,0,0,0,0,0,0,
Zyfi,defi,Payments/RWA,"Yield Optimizer, Identity, Payments, Privacy",TRUE,FALSE,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,stZFI/ZFI holders vote via forum+Snapshot; team executes → semi,"Layer 2, Knowledge, Exchanges, Yield, DeFi, privacy, payments, zksync-era-ecosystem, base-ecosystem, Impossible Finance Launchpad, ZkSync Ecosystem, Base Ecosystem, DeFAI",ZFI,UTILITY,https://zyfi.org/,,zksync-era,0,5852409,,3038176,78379054,500000000,0.01693082427,9111,3214.62,0,-0.21133634,-17.17058822,-39.04614438,-63.43613159,31.44307216,44.84765679,
Ethena,defi,Payments/RWA,"Stablecoin, DAO Tooling, Infrastructure, Privacy",TRUE,TRUE,HYBRID,FOUNDATION_OWNED,SEMI_DECENTRALIZED,"ENA governs by electing committees (risk, etc.); delegated expert governance with community oversight → semi","defi, ethereum-ecosystem, binance-labs-portfolio, okx-ventures-portfolio, cmc-crypto-yearbook-2024-2025, world-liberty-financial-portfolio, binance-ecosystem, binance-listing, Decentralized Finance (DeFi), Binance Launchpool, Ethereum Ecosystem, Base Ecosystem, Stablecoin Issuer, DragonFly Capital Portfolio, YZi Labs (Prev. Binance Labs) Portfolio, Delphi Ventures Portfolio, OKX Ventures Portfolio, World Liberty Financial Portfolio, Governance, Avalanche Ecosystem, Arbitrum Ecosystem, Metis Ecosystem, Optimism Ecosystem, ZkSync Ecosystem, Mantle Ecosystem, TON Ecosystem, Manta Network Ecosystem, Scroll Ecosystem, Kava Ecosystem, Blast Ecosystem, Mode Ecosystem, Fraxtal Ecosystem, Zircuit Ecosystem, Morph L2 Ecosystem, Swellchain Ecosystem",ENA,UTILITY,https://ethena.fi/,,"arbitrum,bnb-chain,ethereum,linea,optimism,ton",0,14224869505,0.29256005,1830805611,6889062500,15000000000,0.6040921398,9104,892638952.5,18249,0.03891364,-9.28193052,-20.06951899,-19.48053688,37.47441474,118.9506014,7549333462
Let's F***ing Joe (Trader Joe),exchanges,DEX,"AMM DEX, DAO Tooling, Marketplace, Yield Optimizer",TRUE,TRUE,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,Trader Joe uses JOE governance (LFJ brand); execution by team/multisig → semi,"NFT, Exchanges, Yield, DeFi, Marketplaces",JOE,UTILITY,https://lfj.gg,,"arbitrum,avalanche",0,0,0,0,0,0,0,9084,311885078.6,180911,0,0,0,0,0,0,
UntitledBank,defi,Analytics,Analytics,TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,"Experimental DeFi/fintech-style app branding as “bank”; no DAO, Snapshot voting, or on-chain governance documented; operational control remains with the team.","DeFi, research, analytics, platform, smart-contracts, dapp, ethereum-ecosystem, layer-2, base-ecosystem",,,https://untitledbank.co/,,soneium,0,,,0,0,0,0,9015,3964849.44,213268,,,,,,,887894
Guild of Guardians,games,NFT Gaming,"Play 2 Earn, DAO Tooling, Privacy",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,GOG token issued by company; no binding DAO over game ops → centralized,"NFT, Games, gaming, entertainment, ethereum-ecosystem, play-to-earn, Gaming (GameFi), Ethereum Ecosystem, Immutable zkEVM Ecosystem, RPG, Gaming Governance Token, Gaming Utility Token, Action Games, MMO",GOG,REWARD,https://www.guildofguardians.com,,"ethereum,immutablex,immutablezkevm",0,0,,6639335,811592335.3,1000000000,0.003793891066,8920,1.37,25057,1.04571114,8.4783455,-10.90839899,-31.69934116,-47.79196888,-66.34590468,
Fragmetric,defi,Analytics,"Yield Optimizer, Staking, Restaking, Analytics",TRUE,FALSE,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,FRAG used for protocol governance on Solana; team steers rollout → semi,"Staking, Yield, DeFi, research, analytics, Decentralized Finance (DeFi), Solana Ecosystem, Restaking, Liquid Restaking Governance Tokens",FRAG,"UTILITY, GOVERNANCE",https://fragmetric.xyz,,solana,84,0,,899183,202000000,1000000000,0.0044952,8896,75425649.87,21205,,-16.73834,-31.30506,-68.09149,,,36953617
Uranium Miner,games,NFT Gaming,"Play 2 Earn, Farming",TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,Idle/mining-style Web3 game; no governance framework or token-based execution surfaced; centrally operated gameplay and economy.,"Farming, Games, Play to Earn",,,https://geturanium.io,,etherlink,0,0,0,0,0,0,0,8893,0,49053,0,0,0,0,0,0,
LiveArt,games,NFT marketplace,"Play 2 Earn, DAO Tooling, Farming, Marketplace",TRUE,TRUE,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,ART token with governance/DAO messaging; marketplace/backend remain company-run → semi,"Art, Knowledge, Farming, NFT, Play to Earn, fashion, luxury, bnb-chain-ecosystem, base-ecosystem, Real World Assets (RWA)",ART,UTILITY,https://liveart.io,,"base,ton,bnb-chain,polygon,ethereum,linea,gravity",0,0,,0,0,1000000000,0.0278369543,8827,247.39,109774,-3.69987951,-5.06824586,-29.50671147,9.61139328,9.61139328,9.61139328,93559
Etherfi,defi,Yield Aggregator,"Yield Optimizer, Staking, Liquidity Staking",TRUE,TRUE,SNAPSHOT_OFFCHAIN,FOUNDATION_OWNED,SEMI_DECENTRALIZED,ETHFI DAO proposals live; community votes with foundation execution → semi,"Staking, Yield, DeFi, ethereum-ecosystem, binance-launchpool, arbitrum-ecosystem, eigenlayer-ecosystem, cmc-crypto-yearbook-2024-2025, binance-ecosystem, binance-listing, neobank",ETHFI,UTILITY,https://www.ether.fi/,,"arbitrum,base,ethereum",0,,,0,608778373,1000000000,0.7536622911,8798,1093095187,23440,3.66611871,9.65797222,-12.90520992,-25.93489715,-49.26573247,-30.34523602,
THORChain,defi,DEX,"Yield Optimizer, AMM DEX, Bridge, Cross-chain DEX",TRUE,TRUE,HYBRID,DAO_OWNED,DECENTRALIZED,Protocol changes via validator/node consensus (TIPS; 67% node upgrades) → decentralized without token voting,"Yield, DeFi, cosmos-ecosystem, decentralized-exchange-dex-token, dex, multicoin-capital-portfolio, exnetwork-capital-portfolio, injective-ecosystem, binance-ecosystem, binance-listing, Decentralized Exchange (DEX), Infrastructure, Smart Contract Platform, Exchange-based Tokens, Decentralized Finance (DeFi), Bridge Governance Tokens, Multicoin Capital Portfolio, Proof of Stake (PoS), Delphi Ventures Portfolio",RUNE,GOVERNANCE,https://thorchain.org,,"bnb-chain,avalanche,ethereum",0,168675504.4,1.35984312,439770607,351177587,425197306,0.6531516619,8797,512676045.3,40442,1.95279963,4.26985982,-8.83617425,-23.75634639,-40.62234972,-47.32936782,
Sugar Match,games,NFT Gaming,Play 2 Earn,TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,"Match-3 casual Web3 game; no DAO, governance token, or decentralized execution layer identified; studio-controlled product.","Games, Play to Earn",,,https://www.sugarmatch.io,,etherlink,0,0,0,0,0,0,0,8700,0,164414,0,0,0,0,0,0,
Meme Fighter Match,games,NFT Gaming,Play 2 Earn,TRUE,FALSE,TEAM_CONTROLLED,COMPANY_OWNED,CENTRALIZED,"Casual fighting/match game using meme themes; no public governance, DAO, or token-based execution; centrally curated content and balance.",Games,,,https://www.memefightermatch.com/,,zetachain,0,0,0,0,0,0,0,8666,0,54275,0,0,0,0,0,0,
Solpump,gambling,NFT Gaming,"Casino, DAO Tooling, Play 2 Earn",TRUE,FALSE,NONE,COMPANY_OWNED,CENTRALIZED,Solana casino/games; no DAO governance—operator controls listings and rules → centralized,"Gambling, Casino, Gaming (GameFi), Solana Ecosystem",SOLPUMP,UTILITY,https://solpump.com,,solana,0,0,0,673526,82366381.42,213748718.7,0.00793569,8648,11444777.06,1747014,0,-19.12411,46.17673,19.17864,0,0,
Planet IX,games,NFT Gaming,"Play 2 Earn, Metaverse, DAO Tooling, Yield Optimizer",TRUE,FALSE,SNAPSHOT_OFFCHAIN,MIXED,SEMI_DECENTRALIZED,IXT governance/DAO outlined; team/foundation still operate core systems → semi,"Knowledge, NFT, DeFi, Games, Play to Earn, Gaming (GameFi), Metaverse, Polygon Ecosystem, Gaming Governance Token, Gaming Utility Token, Strategy Games",IXT,REWARD,https://ix.foundation/,,polygon,0,0,0,17103001,146266118.2,153258226,0.116978,8598,575575.81,139540,0,2.11989,-8.12005,-10.2985,0,0,
Folks Finance,defi,Lending,"Yield Optimizer, Staking, Analytics, DeFi Infrastructure",TRUE,TRUE,DAO_WITH_TIMELOCK,DAO_OWNED,DECENTRALIZED,"DeFi lending protocol (Algorand & EVM); FOLKS token governs via DAO with timelocked, binding on-chain proposals; treasury and protocol parameters are DAO-controlled.","Farming, Staking, Yield, DeFi, Governance, research, analytics, platform, smart-contracts, dapp, ethereum-ecosystem, layer-2, base-ecosystem",FOLKS,GOVERNANCE,https://folks.finance/,,"arbitrum,avalanche,base,bnb-chain,ethereum,polygon",0,,,0,0,0,0,8592,32764077.48,21438,,,,,,,97473938
zkPass,other,Oracles,"Oracle, Privacy, Infrastructure, Farming",TRUE,TRUE,TEAM_CONTROLLED,COMPANY_OWNED,SEMI_DECENTRALIZED,Privacy/ZK verification protocol; ZKP token referenced for ecosystem incentives; protocol upgrades and execution remain operator-led with no binding DAO governance surfaced.,"Knowledge, Farming, Social, Infrastructure, Privacy Coins, Oracle, Zero Knowledge (ZK), Animoca Brands Portfolio",ZKP,UTILITY,https://zkpass.org,,"arbitrum,base,bnb-chain,linea,optimism,zksync-era",0,0,0,0,0,1000000000,0,8542,3718.11,15054,0,0,0,0,0,0,
DexHunter,exchanges,DEX,"AMM DEX, DEX Aggregator, Aggregator, Payments",TRUE,FALSE,SNAPSHOT_OFFCHAIN,COMPANY_OWNED,SEMI_DECENTRALIZED,Cardano DEX aggregator with HUNT utility; no binding DAO—team runs infra; token voting not required for upgrades,"Exchanges, DeFi, platform, ethereum-ecosystem, base-ecosystem, Cardano Ecosystem, Decentralized Exchange (DEX), Decentralized Finance (DeFi)",HUNT,UTILITY,https://app.dexhunter.io,,cardano,0,0,,0,126167678,198912688,0.1432201313,8488,189508.44,73024,1.87591307,-0.30120777,-4.9194664,-23.90184039,-33.81724104,-43.6678219,
